,age,height,weight
S,7.465663917081773,6.212918929337915,4.073407039866293
M,7.704828981235546,6.293141488886561,4.2171435187284185
L,8.051217747414087,6.508380201742981,4.611558559057878
XL,8.330858348026547,6.582037051269835,5.412488103414952
XXXL,9.028235249015323,6.989155592387328,10.549230840878577
