,age,height,weight
S,32.61788097632325,163.763811831398,54.10559204524722
M,33.451430113329735,165.49508063971925,58.20769386106623
L,34.21788219193705,166.94533629984593,62.25052595667254
XL,34.9423167600985,167.66677891424072,65.57633767456457
XXXL,36.4176597541522,167.83756747875884,75.93735661781919
